id,tsUnix,AN,CO,CO2,NH3,__rssi,pmx,pmy
1518977,1459307018931,0,162,173,16,28,1.3,0.5
1518994,1459307279899,0,163,175,17,29,2.3,0.6
1519011,1459307539568,0,163,174,17,29,0.8,0.0
1519029,1459307800541,0,165,173,16,29,1.1,0.0
1519047,1459308061104,0,165,174,16,29,2.0,0.4
1519063,1459308321372,0,166,174,16,28,1.6,0.2
1519079,1459308581464,0,161,175,17,28,1.5,0.4
1519095,1459308841611,0,160,173,17,29,1.1,0.1
1519113,1459309102440,0,159,174,17,28,0.9,0.1
1519130,1459309362446,0,172,174,17,28,1.2,0.0
1519148,1459309622389,0,168,175,16,29,2.0,0.4
1519165,1459309882407,0,162,174,17,28,1.2,0.1
1519184,1459310142530,0,168,174,17,28,1.6,0.3
1519200,1459310403486,0,159,174,17,28,0.7,0.0
1519218,1459310663992,0,169,173,16,28,2.0,0.5
1519234,1459310924713,0,164,173,16,28,1.9,99.0
1519248,1459311185274,0,166,174,17,29,0.6,0.0
1519268,1459311445741,0,170,174,17,29,0.2,0.0
1519285,1459311710930,0,161,174,16,28,0.7,0.0
1519301,1459311970870,0,165,173,17,29,0.4,0.0
1519318,1459312231085,0,170,173,16,28,2.2,0.1
1519337,1459312491708,0,166,173,17,28,0.9,0.0
1519352,1459312751663,0,152,174,17,28,0.9,0.0
1519367,1459313011678,0,174,173,17,28,1.4,0.1
1519385,1459313271509,0,165,173,17,28,1.0,0.0
1519401,1459313532051,0,160,174,17,29,1.4,0.3
1519419,1459313792364,0,162,174,16,29,1.3,0.2
1519436,1459314052331,0,159,173,16,29,1.6,0.3
1519451,1459314312924,0,159,175,16,28,2.0,0.3
1519468,1459314573477,0,160,174,16,28,1.2,0.2
1519487,1459314834781,0,161,174,16,29,1.2,0.1
1519504,1459315095670,0,163,174,16,28,1.2,0.2
1519520,1459315355970,0,161,175,16,29,1.3,0.2
1519537,1459315616227,0,170,175,17,29,0.8,0.0
1519553,1459315876593,0,161,177,16,29,0.2,0.0
1519569,1459316140707,0,155,176,17,28,1.6,0.2
1519588,1459316401404,0,159,176,17,28,1.3,0.2
