id,tsUnix,AN,CO,CO2,NH3,__rssi,pmx,pmy
1463801,1458356470566,0,165,178,16,28,2.2,0.1
1463818,1458356730670,0,160,178,16,29,0.6,0.0
1463835,1458356990937,0,157,177,16,28,0.4,0.0
1463849,1458357251355,0,175,177,16,28,1.7,0.4
1463863,1458357511802,0,162,176,16,28,1.1,0.1
1463878,1458357772428,0,165,177,16,28,1.7,0.3
1463892,1458358032904,0,156,176,16,28,2.1,0.5
1463906,1458358293831,0,164,177,16,28,0.8,0.1
1463920,1458358553844,0,155,177,16,28,1.7,0.4
1463937,1458358813893,0,156,176,16,28,0.3,0.0
1463951,1458359076839,0,161,176,16,28,0.9,0.0
1463965,1458359337223,0,156,177,17,28,0.5,0.1
1463981,1458359597541,0,158,176,16,28,1.1,0.2
1463997,1458359857854,0,159,175,16,28,1.5,0.0
1464014,1458360118384,0,161,176,16,28,2.0,0.5
1464032,1458360378733,0,166,175,16,29,0.5,0.0
1464049,1458360639377,0,160,176,16,29,1.0,0.0
1464063,1458360899787,0,164,175,16,28,0.9,0.2
1464079,1458361160522,0,161,176,16,28,1.2,0.2
1464093,1458361421326,0,159,176,17,28,1.3,0.2
1464106,1458361681737,0,160,175,16,28,1.7,0.2
1464123,1458361942305,0,164,176,16,29,1.6,0.4
1464138,1458362202510,0,161,176,16,28,1.4,0.0
1464154,1458362462608,0,165,176,16,29,1.5,0.3
1464170,1458362722846,0,171,177,16,29,1.3,0.2
1464187,1458362982829,0,161,176,16,28,1.5,0.2
1464202,1458363242984,0,162,176,16,28,0.5,0.1
1464214,1458363503356,0,164,176,16,29,0.4,0.0
1464229,1458363763465,0,159,177,16,28,0.7,0.0
1464243,1458364023962,0,163,176,16,28,1.3,0.0
1464257,1458364284127,0,166,176,16,28,0.3,0.0
1464272,1458364544472,0,165,176,16,29,0.3,0.0
1464288,1458364804805,0,164,177,16,28,0.1,0.0
1464304,1458365065021,0,162,176,16,28,0.2,0.0
1464321,1458365355501,0,161,175,16,28,0.3,0.1
1464336,1458365616589,0,161,176,16,28,0.8,0.1
1464353,1458365887940,0,158,177,16,28,0.5,0.0
1464367,1458366149031,0,161,177,16,28,0.0,0.0
1464384,1458366409924,0,160,176,16,28,0.3,0.0
1464401,1458366672102,0,161,176,16,28,0.8,0.2
1464416,1458366932632,0,162,175,16,28,0.6,0.0
1464430,1458367192980,0,162,175,16,28,0.8,0.0
1464446,1458367483629,0,171,176,16,28,1.1,0.1
1464461,1458367744273,0,162,175,16,28,0.1,0.0
1464478,1458368004846,0,155,175,16,28,0.3,0.0
1464495,1458368265252,0,169,176,16,28,0.5,0.0
1464513,1458368525421,0,158,175,16,28,0.5,0.0
1464528,1458368785827,0,164,175,16,28,0.7,0.2
1464545,1458369046192,0,161,175,16,29,0.5,0.0
1464560,1458369306952,0,161,175,16,29,0.7,0.0
1464575,1458369566989,0,161,174,16,28,1.4,0.3
1464593,1458369827267,0,157,175,16,28,0.9,0.1
1464608,1458370087700,0,172,175,16,28,0.8,0.0
1464622,1458370347930,0,169,175,16,29,0.9,0.0
1464639,1458370609262,0,155,175,16,29,0.6,0.0
1464655,1458370870065,0,169,176,16,28,0.9,0.2
1464673,1458371130621,0,164,175,16,29,1.0,0.0
1464690,1458371390791,0,161,175,16,28,0.6,0.0
1464707,1458371650757,0,165,175,16,28,0.9,0.0
1464725,1458371911312,0,165,175,16,28,0.8,0.0
1464741,1458372171609,0,165,175,16,28,0.5,0.0
1464757,1458372432320,0,158,176,16,28,0.5,0.0
1464774,1458372692469,0,157,176,17,28,0.2,0.0
1464788,1458372952624,0,166,175,16,28,0.8,0.2
