id,tsUnix,AN,CO,CO2,NH3,__rssi,pmx,pmy
1489050,1458788477563,0,161,175,16,28,2.7,0.5
1489064,1458788738039,0,161,174,16,28,2.0,0.0
1489080,1458788998085,0,165,175,16,28,1.2,0.1
1489108,1458789529120,0,156,176,16,29,1.5,0.2
1489125,1458789789040,0,161,174,16,29,1.4,0.0
1489145,1458790050380,0,162,175,16,29,2.3,0.5
1489162,1458790314127,0,172,174,16,29,1.8,0.2
1489178,1458790574364,0,159,174,16,28,2.6,0.3
1489197,1458790834842,0,160,174,16,29,2.1,0.5
1489214,1458791095276,0,168,174,16,29,1.7,0.4
1489231,1458791355761,0,164,174,16,28,2.7,0.3
1489247,1458791615741,0,163,175,16,29,2.2,0.2
1489264,1458791875736,0,162,174,16,29,1.7,0.3
1489282,1458792139257,0,161,174,16,29,2.1,0.4
1489297,1458792400607,0,161,174,16,29,0.4,0.0
1489314,1458792661197,0,155,174,16,28,2.9,0.4
1489333,1458792920950,0,161,174,16,28,2.6,0.3
1489348,1458793181272,0,157,174,16,28,0.8,0.0
1489364,1458793441872,0,157,174,16,28,2.3,0.5
1489381,1458793702687,0,161,174,16,29,1.3,0.2
1489396,1458793962709,0,162,174,16,29,1.3,0.3
1489412,1458794223131,0,168,174,16,28,0.5,0.0
1489429,1458794483487,0,158,174,16,29,2.5,0.7
1489447,1458794744118,0,161,175,16,28,2.4,0.4
1489462,1458795004343,0,158,176,16,29,2.0,0.2
1489476,1458795264727,0,159,176,16,29,2.3,0.5
1489495,1458795525511,0,163,176,16,28,1.6,0.2
1489510,1458795785653,0,161,176,16,28,1.7,0.7
1489528,1458796046869,0,167,176,16,29,2.3,0.0
1489545,1458796306967,0,163,175,16,29,3.7,0.7
1489561,1458796566793,0,159,176,16,29,2.6,0.1
1489577,1458796826778,0,157,176,16,28,1.1,0.1
1489592,1458797086874,0,165,176,16,28,2.0,0.3
1489608,1458797347321,0,162,175,16,28,0.6,0.2
1489624,1458797607809,0,160,176,16,28,1.5,0.1
1489640,1458797867812,0,162,175,16,29,1.3,0.2
1489662,1458798127951,0,156,175,16,29,1.1,0.0
1489679,1458798387950,0,166,176,16,29,1.9,0.2
1489696,1458798648427,0,160,176,16,29,1.7,0.5
1489713,1458798909824,0,161,176,16,29,1.2,0.0
1489728,1458799170227,0,157,177,16,29,2.4,0.6
1489745,1458799430159,0,156,176,16,29,1.5,0.4
1489760,1458799691747,0,158,174,16,28,1.3,0.3
1489777,1458799952223,0,155,176,16,28,3.0,0.7
1489793,1458800212044,0,164,175,16,28,1.2,0.0
1489810,1458800472021,0,161,174,15,29,0.7,0.1
1489826,1458800731990,0,162,174,15,29,1.9,0.0
1489842,1458800991916,0,166,175,15,28,1.1,0.2
1489858,1458801252139,0,170,174,16,29,2.5,0.4
1489875,1458801512755,0,159,174,15,29,1.8,0.0
1489892,1458801773933,0,169,174,16,29,1.8,0.2
1489918,1458802306405,0,159,174,16,28,1.7,0.4
1489933,1458802567035,0,160,174,15,29,2.3,0.8
1489950,1458802837002,0,156,174,15,28,2.6,0.8
1489966,1458803098095,0,165,174,15,28,2.0,0.4
1489981,1458803358770,0,163,173,15,29,0.9,0.1
1489995,1458803619753,0,163,173,15,29,2.9,0.6
1490039,1458804417800,0,165,174,15,29,2.2,0.3
1490053,1458804678149,0,159,174,15,28,3.7,0.7
1490066,1458804938334,0,172,174,16,29,2.5,0.3
1490081,1458805198828,0,160,173,15,28,1.4,0.4
1490095,1458805459159,0,160,174,15,29,1.9,0.2
1490109,1458805719811,0,169,174,16,28,1.2,0.0
1490124,1458805982048,0,162,175,16,28,1.6,0.3
1490137,1458806244127,0,166,174,16,29,1.5,0.2
1490152,1458806515070,0,162,174,15,29,1.4,0.2
1490168,1458806775267,0,166,174,16,29,2.1,0.5
1490181,1458807035213,0,170,175,16,29,1.5,0.1
1490197,1458807295370,0,162,175,16,29,1.3,0.0
1490212,1458807556637,0,161,174,15,29,1.2,0.0
1490226,1458807817214,1,170,173,16,29,1.1,0.4
1490243,1458808077307,0,159,174,16,28,1.5,0.2
1490257,1458808350265,0,158,174,16,28,1.2,0.1
1490272,1458808610732,0,167,174,16,29,2.5,0.4
1490286,1458808871459,0,162,173,15,29,2.3,0.6
1490304,1458809131471,0,165,174,16,28,1.9,0.3
1490322,1458809391562,0,159,174,15,28,2.1,0.0
1490334,1458809652028,0,165,175,16,29,1.0,0.2
1490352,1458809912636,0,155,174,15,28,1.5,0.1
1490367,1458810173913,0,160,174,15,29,0.8,0.0
1490381,1458810445197,0,156,174,16,28,1.8,0.4
1490400,1458810705415,0,168,173,16,29,0.1,0.0
1490414,1458810965877,0,163,174,15,28,1.5,0.1
1490430,1458811226653,0,159,173,16,29,1.6,0.3
1490446,1458811488226,0,159,174,15,28,0.8,0.0
1490464,1458811749245,0,163,174,15,28,1.1,0.0
1490482,1458812009465,0,155,174,16,28,1.4,0.1
1490500,1458812279500,0,172,173,16,29,1.4,0.5
1490514,1458812540297,0,168,173,16,28,0.0,0.0
1490530,1458812800818,0,153,173,15,28,0.5,0.2
1490545,1458813070952,0,155,173,16,28,1.2,0.1
1490561,1458813336168,0,165,173,16,28,1.1,0.1
1490578,1458813596988,0,170,173,15,29,1.3,0.1
1490610,1458814129041,0,162,173,15,29,1.3,0.2
1490624,1458814390228,0,168,173,16,28,1.0,0.1
1490638,1458814653458,1,158,173,16,29,0.7,0.1
1490651,1458814913750,0,159,173,16,29,1.4,0.2
1490668,1458815174642,0,169,173,16,29,0.8,0.2
1490687,1458815435013,0,159,173,16,28,2.5,0.5
1490702,1458815695111,0,165,173,16,28,0.9,0.1
1490718,1458815955006,0,161,173,16,28,1.3,0.4
1490744,1458816496550,0,163,173,16,28,2.4,0.2
1490759,1458816757758,0,159,173,16,28,1.1,0.0
1490772,1458817017787,0,157,172,16,29,0.5,0.2
1490787,1458817278321,0,167,173,16,28,1.3,0.1
1490801,1458817548439,0,158,175,16,28,1.6,0.2
1490816,1458817808901,0,165,174,15,28,1.3,0.5
1490833,1458818069897,0,168,173,16,28,1.6,0.3
1490847,1458818330970,0,167,174,16,29,0.8,0.0
1490860,1458818591653,0,154,173,16,29,0.2,0.0
1490875,1458818852020,0,159,172,15,28,1.7,0.1
1490893,1458819113546,0,161,173,16,28,0.8,0.0
1490910,1458819374211,0,161,173,15,28,1.5,0.3
1490927,1458819634894,0,167,173,16,28,1.1,0.1
1490946,1458819896204,0,159,173,16,28,2.1,0.6
1490965,1458820156619,0,169,173,16,28,0.9,0.1
1490982,1458820417109,0,163,173,16,28,1.6,0.1
1490997,1458820677326,0,157,173,16,28,1.8,0.3
1491013,1458820938903,0,152,173,16,29,1.2,0.4
1491031,1458821199665,0,161,172,16,29,1.2,0.1
1491047,1458821460391,0,163,173,16,28,1.6,0.5
1491063,1458821730464,0,163,173,16,28,1.7,0.1
1491077,1458821990954,0,162,172,16,28,1.5,0.1
1491094,1458822250971,0,156,174,16,28,3.0,0.8
