id,tsUnix,AN,CO,CO2,NH3,__rssi,pmx,pmy
1513830,1459220529060,0,155,174,16,28,1.7,0.4
1513847,1459220789401,0,162,173,16,28,0.9,0.1
1513861,1459221049345,0,171,175,17,29,1.1,0.1
1513875,1459221309618,0,165,175,16,29,1.8,0.1
1513893,1459221569567,0,171,175,16,29,1.9,0.3
1513912,1459221830140,0,161,174,17,29,1.5,0.2
1513931,1459222090168,0,158,175,16,28,1.0,0.1
1513948,1459222350148,0,161,174,16,29,2.0,0.3
1513963,1459222611531,0,155,173,16,29,1.3,0.3
1513981,1459222872205,0,162,174,16,28,0.9,0.2
1513999,1459223132472,0,161,174,16,28,1.3,0.2
1514013,1459223392434,0,162,174,16,29,2.2,0.3
1514031,1459223652882,0,164,174,16,28,0.6,0.0
1514048,1459223912811,0,157,174,16,29,1.6,0.2
1514065,1459224173389,0,164,174,16,28,1.3,0.0
1514082,1459224433582,0,169,173,17,29,2.1,0.1
1514096,1459224693553,0,162,173,16,28,2.6,0.4
1514112,1459224954140,0,162,174,16,29,1.2,0.2
1514129,1459225214601,0,162,174,17,29,0.9,0.0
1514148,1459225474644,0,158,172,16,29,0.3,0.0
1514165,1459225735732,0,160,172,16,28,1.4,0.0
1514179,1459225996525,0,160,173,17,28,2.7,0.7
1514195,1459226257028,0,167,173,17,29,0.5,0.0
1514213,1459226522046,0,162,175,16,29,1.6,0.6
1514230,1459226782625,0,167,172,16,29,2.2,0.1
1514248,1459227044046,0,171,173,16,29,1.0,0.0
1514264,1459227304493,0,160,173,16,29,0.8,0.0
1514280,1459227565016,0,151,173,16,29,1.6,0.2
1514300,1459227825252,0,164,173,16,29,1.3,0.1
1514316,1459228095890,0,163,173,16,29,1.3,0.1
1514331,1459228356750,0,163,173,16,29,1.6,0.4
1514349,1459228618029,0,159,173,16,29,0.9,0.0
1514365,1459228880055,0,161,173,16,28,2.1,0.5
1514380,1459229151177,0,162,175,16,29,0.5,0.0
1514394,1459229421786,0,160,174,16,29,1.2,0.0
1514413,1459229683006,0,169,174,16,29,1.6,0.2
1514428,1459229943310,0,157,173,16,29,2.2,0.4
1514444,1459230203890,0,172,175,16,28,1.3,0.0
1514461,1459230464165,0,160,175,16,29,1.2,0.1
1514478,1459230724531,0,162,175,16,29,0.6,0.0
1514493,1459230984567,0,160,175,16,29,2.1,0.5
1514510,1459231244638,0,163,175,16,29,1.2,0.3
1514526,1459231504669,0,158,174,16,28,2.2,0.2
1514544,1459231764504,0,165,176,16,29,1.1,0.1
1514557,1459232024519,0,163,176,16,29,2.7,0.5
