idnum,AN,CO,CO2,NH3,__rssi,pmx,pmy
292,0,168,214,16,31,1.3,0
293,0,163,216,16,31,1.2,0.2
294,0,168,218,15,31,1.2,0.1
295,0,158,218,16,31,0.9,0
296,0,165,218,16,31,1.8,0.1
297,0,161,221,16,31,0.6,0
298,0,157,223,16,31,2.3,0.1
299,0,160,226,16,31,1.6,0.2
300,0,164,225,16,31,1,0
301,0,163,221,16,31,1.1,0.2
302,0,162,225,16,31,1.6,0
303,0,156,226,16,31,1.7,0.2
304,0,158,224,16,31,1.6,0.4
305,0,155,219,16,31,1,0
306,0,162,221,16,31,0.7,0
307,0,163,221,16,31,1.5,0.1
308,0,160,217,16,31,2.1,0.3
309,0,157,219,17,31,0.9,0
310,0,159,218,16,31,1.8,0.2
311,0,164,214,17,31,0.9,0
312,0,161,210,17,31,3.1,0.1
313,0,159,202,18,31,3.9,0.5
314,0,162,202,17,31,3.2,0.5
315,0,156,200,18,31,3.2,0.2
316,0,157,197,18,31,3.3,0.5
317,0,161,194,17,31,3.6,0.4
318,0,160,191,18,31,3.8,0.5
319,0,162,190,18,31,3.8,0.7
320,0,161,188,18,31,2.8,0.7
321,0,168,187,18,31,2.6,0.6
322,0,161,187,18,31,2,0.4
323,0,162,186,18,31,2.7,0.5
324,0,161,186,18,31,1.7,0.1
325,0,163,186,18,31,2.3,0.1
