id,tsUnix,AN,CO,CO2,NH3,__rssi,pmx,pmy
1458775,1458270085373,0,161,181,16,28,1.8,0.0
1458792,1458270345592,0,167,181,16,28,1.0,0.3
1458807,1458270605854,1,166,180,17,27,2.2,0.3
1458824,1458270866545,0,157,180,17,27,3.2,0.7
1458850,1458271398823,0,169,179,16,27,0.8,0.0
1458865,1458271659143,0,165,179,17,28,1.4,0.2
1458878,1458271922480,0,162,179,17,28,1.7,0.1
1458892,1458272182794,0,162,178,16,28,1.9,0.2
1458910,1458272443749,0,158,178,16,28,1.5,0.4
1458927,1458272704185,0,159,177,16,28,1.2,0.0
1458942,1458272964419,0,169,178,16,28,0.7,0.0
1458958,1458273224985,0,158,178,17,28,1.4,0.2
1458975,1458273485058,0,162,178,16,28,1.4,0.2
1458992,1458273745632,0,170,177,17,28,0.6,0.1
1459009,1458274006274,0,164,178,16,28,0.7,0.1
1459026,1458274266290,0,162,177,17,28,0.9,0.0
1459044,1458274526593,0,168,178,16,28,0.8,0.2
1459061,1458274786642,0,167,177,16,28,0.8,0.0
1459079,1458275076741,0,157,178,16,28,1.1,0.2
1459094,1458275336852,0,166,179,17,28,0.3,0.0
1459110,1458275597097,0,159,179,16,28,0.5,0.0
1459126,1458275857336,0,153,178,16,28,0.7,0.0
1459143,1458276117668,0,162,178,17,28,2.0,0.2
1459161,1458276377650,0,163,179,17,28,0.7,0.1
1459177,1458276638580,0,171,177,16,28,0.9,0.0
1459194,1458276899534,0,164,180,16,28,1.0,0.2
1459210,1458277159505,0,165,177,16,28,0.4,0.0
1459224,1458277420101,0,164,178,16,28,0.8,0.1
1459239,1458277681347,0,162,178,16,28,1.1,0.0
1459256,1458277942020,0,162,177,16,28,1.0,0.2
1459273,1458278203129,0,167,177,16,28,1.4,0.2
1459291,1458278468225,0,170,178,17,28,0.6,0.0
1459307,1458278728166,0,163,178,16,28,1.4,0.1
1459324,1458278989413,0,169,177,16,28,0.2,0.0
1459342,1458279249503,0,165,178,17,28,1.2,0.3
1459360,1458279509447,0,161,178,17,28,0.2,0.0
1459375,1458279769552,0,160,177,16,28,0.9,0.0
1459393,1458280030278,0,155,177,16,28,1.3,0.0
1459412,1458280320973,0,157,176,16,28,0.8,0.2
1459428,1458280581135,0,167,176,16,28,1.0,0.2
1459446,1458280841705,0,167,177,16,29,1.3,0.1
1459464,1458281101627,0,155,177,17,28,1.0,0.0
1459482,1458281362144,0,158,177,16,28,1.0,0.0
1459499,1458281622342,0,163,177,16,28,0.9,0.1
1459514,1458281882774,0,165,176,16,28,1.6,0.1
1459531,1458282142730,0,165,177,16,28,1.1,0.0
1459545,1458282402940,0,166,178,16,28,1.4,0.0
1459558,1458282663212,0,154,177,16,28,0.5,0.0
1459575,1458282923348,0,157,177,17,28,1.2,0.1
1459591,1458283183762,0,162,177,17,28,0.3,0.0
1459608,1458283444448,0,166,178,16,28,1.3,0.1
1459624,1458283704533,0,165,177,16,28,1.1,0.1
1459640,1458283964535,0,168,176,16,28,0.7,0.1
1459656,1458284225260,0,161,176,16,28,1.2,0.7
1459674,1458284485609,0,162,175,16,28,1.5,0.4
1459689,1458284745892,0,163,175,16,28,1.3,0.1
1459706,1458285006660,0,158,176,16,28,0.6,0.0
1459723,1458285267272,0,165,176,16,28,1.5,0.2
1459738,1458285527943,0,171,175,16,28,0.4,0.0
1459752,1458285788308,0,159,176,16,29,0.7,0.0
1459770,1458286049255,0,164,176,16,28,0.4,0.0
1459786,1458286309788,0,167,175,16,28,1.2,0.1
1459801,1458286569838,0,158,175,17,29,0.2,0.0
1459817,1458286830071,0,164,177,16,29,1.2,0.4
1459835,1458287089908,0,155,176,16,28,1.6,0.3
1459851,1458287350491,0,161,174,16,28,1.4,0.2
1459869,1458287610630,0,164,177,17,29,0.4,0.0
1459883,1458287871188,0,165,176,16,28,0.5,0.2
1459902,1458288131486,0,166,176,16,28,1.0,0.1
1459918,1458288391549,0,165,175,16,28,1.1,0.0
1459933,1458288651554,0,163,176,17,28,0.8,0.0
1459949,1458288912027,0,166,176,17,29,0.9,0.1
1459965,1458289172578,0,153,175,16,28,2.0,0.5
1459980,1458289433212,0,155,176,16,28,1.2,0.3
