id,tsUnix,AN,CO,CO2,NH3,__rssi,pmx,pmy
1444408,1458011015348,0,164,184,17,31,1.7,0.1
1444422,1458011275889,0,167,184,17,31,2.7,0.5
1444434,1458011536683,0,161,184,17,31,1.5,0.2
1444447,1458011797167,0,159,185,17,31,3.3,0.8
1444462,1458012057873,0,160,186,17,31,1.2,0.0
1444475,1458012320503,0,159,186,17,31,1.4,0.1
1444489,1458012581443,0,156,185,17,31,2.1,0.4
1444502,1458012842216,0,161,185,17,31,1.5,0.3
1444514,1458013103514,0,161,186,17,31,1.1,0.0
1444528,1458013364324,0,161,185,17,31,2.1,0.2
1444542,1458013625254,0,157,184,17,31,2.0,0.6
1444554,1458013885618,0,159,185,17,31,0.7,0.1
1444570,1458014146752,0,163,184,17,31,2.3,0.3
1444580,1458014407367,0,160,183,17,31,2.9,0.8
1444595,1458014668291,0,165,184,17,31,0.6,0.0
1444609,1458014928841,0,161,181,17,31,2.1,0.7
1444621,1458015190337,0,164,184,17,31,0.4,0.2
1444634,1458015450774,0,160,181,17,31,0.6,0.1
1444647,1458015711287,0,169,181,17,31,1.0,0.3
1444662,1458015971730,0,161,181,17,31,1.5,0.1
1444676,1458016232174,0,163,182,17,31,1.0,0.0
1444687,1458016492825,0,163,181,17,31,1.5,0.4
1444701,1458016753451,0,161,182,17,31,1.1,0.3
1444713,1458017014777,0,166,182,17,31,1.8,0.5
1444727,1458017277569,0,159,183,17,31,1.2,0.3
1444741,1458017538386,0,163,183,17,31,1.9,0.5
1444756,1458017799445,0,163,184,17,31,0.6,0.0
1444770,1458018060554,0,166,183,17,31,1.0,0.2
1444785,1458018321663,0,155,183,17,31,1.8,0.4
1444798,1458018582067,0,160,182,17,31,1.5,0.4
1444811,1458018845590,0,157,183,17,31,0.4,0.0
1444826,1458019109014,0,166,184,17,31,0.0,0.0
1444841,1458019370293,0,161,183,18,31,1.6,0.1
1444857,1458019630921,0,163,182,17,31,0.9,0.2
1444871,1458019902763,0,161,181,17,31,0.9,0.2
1444885,1458020165725,0,167,182,17,31,0.7,0.1
1444898,1458020426251,0,166,182,17,31,1.5,0.2
1444915,1458020686890,0,167,182,17,31,0.5,0.0
1444929,1458020948838,0,167,184,18,31,1.6,0.1
1444944,1458021209830,0,159,182,17,31,1.6,0.2
1444961,1458021470470,0,157,182,17,31,1.7,0.4
1444975,1458021731271,0,160,183,17,31,0.0,0.0
1444990,1458022001080,0,161,181,17,31,1.5,0.0
1445006,1458022268676,0,157,182,17,31,0.0,0.0
1445019,1458022528985,0,163,182,17,31,1.0,0.1
1445034,1458022789500,0,157,182,17,31,0.3,0.0
1445050,1458023050839,0,161,182,17,31,0.9,0.1
