id,tsUnix,AN,CO,CO2,NH3,__rssi,pmx,pmy
1479164,1458615614641,0,163,177,17,28,2.3,0.2
1479179,1458615874982,0,155,177,17,28,3.2,0.4
1479197,1458616135314,0,168,176,17,28,2.8,0.3
1479212,1458616395550,0,165,177,17,28,4.1,0.5
1479230,1458616655883,0,164,177,17,28,2.8,0.5
1479248,1458616916169,0,155,177,17,28,1.3,0.0
1479265,1458617176565,0,162,177,17,28,2.9,0.4
1479282,1458617436622,0,155,177,17,28,2.8,0.4
1479295,1458617696936,0,156,176,17,28,3.0,0.5
1479313,1458617956978,0,154,176,17,28,3.1,0.7
1479330,1458618217057,0,158,175,17,28,3.9,1.2
1479347,1458618477166,0,158,175,17,28,3.3,0.6
1479365,1458618737356,0,161,176,16,28,1.8,0.1
1479382,1458618997784,0,164,175,17,28,2.3,0.1
1479398,1458619258093,0,164,175,17,28,3.2,0.5
1479416,1458619519505,0,157,175,17,28,2.5,0.5
1479429,1458619779720,0,162,176,17,28,3.1,0.4
1479449,1458620040790,0,171,176,17,28,3.5,0.5
1479466,1458620300887,0,167,176,16,28,1.1,0.1
1479483,1458620561629,0,164,176,17,28,1.3,0.1
1479501,1458620821453,0,160,175,17,28,3.3,0.2
1479516,1458621081683,0,165,175,17,28,3.0,0.2
1479533,1458621341705,0,159,174,17,28,3.6,0.7
1479549,1458621602247,0,155,175,17,28,2.4,0.2
1479565,1458621862430,0,160,176,17,29,2.3,0.4
1479584,1458622122239,0,157,176,17,28,1.6,0.3
1479616,1458622644848,0,155,177,17,28,1.3,0.0
1479633,1458622904700,0,168,176,16,28,1.3,0.0
1479649,1458623164561,0,161,177,17,28,2.8,0.6
1479666,1458623425040,0,165,176,16,28,1.9,0.3
1479680,1458623685668,0,158,176,17,28,2.6,0.4
1479697,1458623946225,0,165,176,17,28,1.6,0.2
1479715,1458624206445,0,161,176,17,28,2.2,0.2
1479732,1458624467211,0,158,177,17,28,2.4,0.3
1479747,1458624727309,0,162,176,17,28,0.8,0.0
1479763,1458624988440,0,153,177,17,28,2.2,0.3
1479777,1458625258829,0,161,176,17,28,0.6,0.0
1479796,1458625519982,0,163,175,16,29,0.8,0.0
1479811,1458625779962,0,169,177,16,29,2.2,0.5
1479828,1458626039944,0,170,177,17,28,2.9,0.2
1479842,1458626300712,0,159,177,17,28,2.5,0.7
1479856,1458626560566,0,162,177,16,28,2.1,0.1
1479874,1458626820526,0,163,175,16,28,1.6,0.2
1479889,1458627080756,0,161,175,17,28,2.3,0.7
1479905,1458627340758,0,165,176,17,29,2.1,0.3
1479922,1458627600947,0,165,176,16,28,1.9,0.4
1479939,1458627860772,0,168,176,17,29,1.4,0.1
1479954,1458628120708,0,167,176,17,28,2.5,0.3
1479969,1458628380601,0,163,176,16,28,1.5,0.2
1479983,1458628641081,0,162,176,17,28,1.5,0.1
1479998,1458628901627,0,167,175,17,28,2.9,1.1
1480015,1458629161425,0,159,176,16,28,2.4,0.2
1480031,1458629421940,0,157,177,16,29,2.2,0.4
1480046,1458629682029,0,166,176,17,28,2.5,0.2
1480062,1458629942490,0,165,176,17,28,1.6,0.3
1480077,1458630202677,0,165,176,17,28,1.5,0.0
