id,tsUnix,AN,CO,CO2,NH3,__rssi,pmx,pmy
1426299,1457665378360,0,166,190,18,31,1.5,0.5
1426310,1457665640197,0,167,189,19,31,1.4,0.0
1426321,1457665900711,0,155,189,19,31,4.1,0.3
1426335,1457666161357,0,162,188,19,31,3.0,0.7
1426348,1457666422213,0,161,186,19,31,2.6,0.1
1426360,1457666685282,0,166,184,18,31,2.1,0.2
1426374,1457666945922,0,165,184,19,31,2.4,0.3
1426387,1457667206598,0,161,184,18,31,1.2,0.1
1426399,1457667467547,0,163,183,19,31,1.6,0.0
1426412,1457667729650,0,159,184,18,31,1.6,0.4
1426426,1457667990877,0,156,184,19,31,1.1,0.0
1426440,1457668251423,0,165,182,18,31,1.4,0.0
1426457,1457668512439,0,157,183,19,31,1.6,0.0
1426470,1457668773161,0,162,183,19,31,1.4,0.1
1426483,1457669033789,0,161,183,19,31,0.7,0.0
1426496,1457669294320,0,170,182,18,31,0.6,0.1
1426510,1457669555507,0,169,183,19,31,0.5,0.1
1426523,1457669816111,0,165,183,19,31,1.1,0.1
1426538,1457670078203,0,163,183,19,31,1.8,0.5
1426551,1457670339270,0,172,182,18,31,1.2,0.2
1426563,1457670600105,0,159,182,19,31,1.7,0.4
1426577,1457670861408,0,165,182,19,31,1.9,0.1
1426590,1457671121844,0,159,182,19,31,1.2,0.3
1426602,1457671382467,0,167,182,19,31,0.8,0.0
1426616,1457671643913,0,159,183,19,31,1.9,0.1
1426629,1457671904280,0,160,184,19,31,6.3,1.3
1426642,1457672170014,0,165,184,18,31,1.1,0.0
1426667,1457672760929,0,153,183,18,31,1.1,0.0
1426683,1457673022312,0,164,183,18,31,1.3,0.1
1426695,1457673282973,0,159,184,18,31,1.0,0.1
1426707,1457673543941,0,166,184,18,31,0.6,0.0
1426734,1457674067597,0,157,183,18,31,1.3,0.1
1426749,1457674328415,0,167,184,18,31,1.3,0.0
1426764,1457674588984,0,158,184,18,31,1.3,0.4
1426779,1457674853923,0,166,185,18,31,1.4,0.0
1426793,1457675119872,0,161,185,18,31,0.8,0.0
1426807,1457675380783,0,160,184,18,31,1.9,0.5
1426822,1457675641988,0,161,184,18,31,0.5,0.0
1426835,1457675906408,0,154,185,17,31,1.4,0.2
1426848,1457676169496,0,160,184,18,31,0.6,0.0
1426863,1457676430109,0,170,184,18,31,0.9,0.2
1426877,1457676690448,0,165,184,17,31,0.4,0.0
1426893,1457676950771,0,170,184,18,31,1.0,0.2
1426908,1457677210971,0,163,183,18,31,1.4,0.2
1426922,1457677471649,0,159,183,18,31,0.7,0.0
1426937,1457677733570,0,160,184,18,31,0.7,0.2
1426951,1457677993952,0,160,182,18,31,1.8,0.2
1426967,1457678255189,0,162,183,17,31,1.1,0.0
1426982,1457678515554,0,163,183,17,31,0.5,0.0
1426997,1457678775867,0,160,184,18,31,1.5,0.3
1427012,1457679036684,0,159,184,18,31,0.3,0.1
1427024,1457679297104,0,162,184,18,31,0.6,0.0
1427041,1457679557387,0,154,184,17,31,1.4,0.3
1427055,1457679817910,0,161,184,17,31,0.8,0.1
1427068,1457680078486,0,163,183,18,31,1.2,0.1
1427084,1457680341208,0,169,183,18,31,0.9,0.3
1427099,1457680601933,0,165,183,18,31,1.2,0.0
1427115,1457680863539,0,162,184,17,31,1.5,0.0
1427131,1457681125514,0,162,184,17,31,0.7,0.0
1427145,1457681408452,0,170,183,17,31,0.9,0.1
1427158,1457681669948,0,165,183,17,31,0.4,0.0
1427170,1457681930547,0,162,183,17,31,1.1,0.1
1427185,1457682191472,0,156,183,17,31,0.7,0.0
1427199,1457682453219,0,173,184,17,31,0.9,0.1
1427214,1457682713786,0,167,185,17,31,0.9,0.2
1427233,1457682974920,0,161,183,18,31,1.0,0.2
1427247,1457683235660,0,160,183,18,31,0.3,0.0
1427261,1457683496231,0,158,184,17,31,0.6,0.0
1427275,1457683756883,0,160,183,17,31,1.3,0.2
1427290,1457684021018,0,165,184,17,31,1.5,0.3
1427305,1457684285955,0,155,183,17,31,1.3,0.1
1427321,1457684552869,0,166,183,17,31,0.9,0.0
1427335,1457684817523,0,165,185,18,31,1.4,0.0
1427350,1457685078507,0,161,184,17,31,1.3,0.4
1427365,1457685339848,0,156,184,17,31,0.9,0.1
1427380,1457685600289,0,163,183,17,31,1.3,0.0
1427394,1457685860914,0,163,183,17,31,1.1,0.0
1427409,1457686123286,0,158,183,17,31,2.2,0.6
1427425,1457686384558,0,161,184,17,31,1.1,0.1
1427441,1457686645044,0,163,183,17,31,0.9,0.0
1427458,1457686906605,0,166,184,17,31,1.3,0.1
1427472,1457687166837,0,167,183,17,31,1.4,0.2
1427488,1457687427451,0,161,184,17,31,0.4,0.1
1427503,1457687688172,0,160,184,17,31,0.7,0.2
1427518,1457687949298,0,163,183,16,31,1.7,0.4
