id,tsUnix,AN,CO,CO2,NH3,__rssi,pmx,pmy
1473864,1458529252891,0,160,185,16,28,0.7,0.0
1473876,1458529512893,0,164,184,16,28,3.4,0.5
1473893,1458529772839,0,161,183,16,28,2.7,0.5
1473910,1458530033718,0,160,180,16,28,1.2,0.0
1473925,1458530294037,0,162,179,16,28,1.9,0.4
1473942,1458530554227,0,162,178,16,28,2.8,0.6
1473956,1458530814444,0,167,177,16,28,0.9,0.0
1473971,1458531074291,0,161,176,16,28,1.5,0.1
1473988,1458531334769,0,162,177,16,28,2.6,0.4
1474006,1458531594867,0,161,177,16,28,1.3,0.2
1474023,1458531855515,0,157,176,17,28,1.5,0.2
1474038,1458532120659,0,159,176,16,28,2.8,0.7
1474056,1458532381292,0,164,176,16,28,1.3,0.1
1474073,1458532641126,0,163,175,16,28,1.9,0.5
1474089,1458532901465,0,167,174,16,28,1.5,0.5
1474107,1458533161367,0,164,176,16,28,0.8,0.0
1474126,1458533421889,0,166,175,16,28,0.7,0.1
1474142,1458533683159,0,159,175,16,28,0.3,0.0
1474157,1458533943445,0,158,176,16,29,1.0,0.1
1474174,1458534203593,0,171,177,16,28,1.2,0.2
1474191,1458534463646,0,153,175,16,28,1.4,0.3
1474207,1458534724298,0,161,176,16,28,1.9,0.3
1474226,1458534984972,0,165,177,16,28,1.0,0.1
1474243,1458535245488,0,165,177,16,28,1.6,0.2
1474260,1458535505612,0,168,176,16,28,1.0,0.2
1474277,1458535768114,0,165,176,16,29,1.2,0.0
1474293,1458536028439,0,165,177,16,28,1.4,0.1
1474311,1458536288414,0,170,176,16,28,1.6,0.3
1474329,1458536548922,0,160,176,16,28,2.4,0.4
1474344,1458536809133,0,157,176,16,28,1.0,0.0
1474361,1458537069261,0,164,176,16,28,1.1,0.0
1474375,1458537329844,0,162,177,16,29,1.9,0.5
1474392,1458537589946,0,159,177,16,29,1.6,0.2
1474408,1458537849946,0,166,177,16,28,1.3,0.0
1474425,1458538110480,0,165,176,16,28,1.0,0.0
1474444,1458538370943,0,163,176,17,28,1.0,0.3
1474459,1458538631160,0,165,176,16,28,1.3,0.0
1474475,1458538891791,0,155,177,16,28,1.4,0.2
1474491,1458539151822,0,161,176,17,28,1.3,0.0
1474507,1458539411846,0,161,176,16,29,0.8,0.1
1474525,1458539672246,0,165,176,16,29,0.9,0.2
1474540,1458539932868,0,165,176,16,29,0.8,0.0
1474558,1458540192870,0,161,176,17,28,2.8,0.8
1474575,1458540452971,0,157,176,16,28,0.9,0.0
1474591,1458540713112,0,171,176,16,28,1.1,0.2
1474609,1458540973497,0,157,176,16,28,2.8,0.6
1474624,1458541233547,0,159,177,16,28,2.0,0.3
1474642,1458541495121,0,165,176,16,29,2.6,0.4
1474658,1458541755327,0,162,177,17,28,0.9,0.0
1474674,1458542015401,0,166,176,16,28,1.0,0.1
1474691,1458542275493,0,158,177,16,28,1.2,0.0
1474709,1458542535534,0,163,176,16,28,0.6,0.0
1474728,1458542795618,0,168,176,17,29,1.2,0.3
1474746,1458543056066,0,168,177,16,28,1.8,0.4
1474761,1458543316407,0,163,177,16,28,1.5,0.1
1474779,1458543576958,0,161,177,17,28,0.9,0.0
1474794,1458543837092,0,160,178,16,28,1.0,0.3
1474811,1458544102442,0,157,177,16,28,1.8,0.3
1474828,1458544362534,0,169,177,16,28,2.1,0.2
1474845,1458544622749,0,160,176,17,28,2.6,0.3
1474862,1458544882916,0,167,176,16,28,2.4,0.5
1474879,1458545143002,0,164,177,16,28,1.8,0.2
1474898,1458545403513,0,164,175,16,28,1.2,0.0
1474915,1458545663813,0,162,177,16,28,0.9,0.0
1474932,1458545924091,0,160,175,16,29,2.7,0.8
1474950,1458546184316,0,161,175,16,29,1.3,0.2
1474966,1458546444919,0,173,176,16,28,0.4,0.1
1474984,1458546704901,0,167,175,16,28,1.2,0.1
1474999,1458546970109,0,160,175,16,28,0.7,0.2
1475015,1458547230708,0,163,175,16,29,0.9,0.0
1475031,1458547491103,0,162,175,16,28,1.3,0.2
1475046,1458547751075,0,163,175,16,28,1.7,0.6
1475062,1458548011594,0,162,175,17,28,0.6,0.0
1475081,1458548272161,0,170,174,16,29,1.1,0.1
1475097,1458548532252,0,161,174,16,28,1.5,0.4
1475114,1458548792944,0,159,175,16,28,1.5,0.0
1475127,1458549053510,0,157,175,16,28,1.7,0.1
1475144,1458549314266,0,157,174,16,28,1.8,0.4
1475163,1458549574400,0,160,174,16,28,0.6,0.0
1475178,1458549835075,0,169,174,16,28,0.6,0.0
1475196,1458550095722,0,163,175,16,28,0.5,0.0
1475212,1458550356265,0,163,174,16,28,0.5,0.0
1475228,1458550616301,0,160,175,16,28,1.5,0.3
1475247,1458550876763,0,162,175,16,28,0.8,0.1
1475264,1458551136826,0,165,175,16,28,1.8,0.2
1475281,1458551396788,1,163,174,16,28,0.8,0.0
1475297,1458551657196,0,175,174,17,28,1.5,0.1
1475316,1458551917434,0,164,174,16,28,1.4,0.1
1475334,1458552177609,0,170,175,16,28,1.8,99.0
1475349,1458552437702,0,159,175,16,28,1.7,0.1
1475367,1458552697726,0,161,175,16,29,1.1,0.3
1475383,1458552958287,0,161,175,17,28,1.9,0.2
1475400,1458553218693,0,163,175,16,28,0.9,0.3
1475419,1458553479548,0,165,175,17,28,2.2,0.4
1475435,1458553740233,0,170,174,16,28,0.9,0.3
1475453,1458554000347,0,165,173,16,28,1.9,0.1
1475470,1458554260765,0,163,174,16,28,0.6,0.0
1475487,1458554520745,0,159,176,16,28,1.2,0.1
1475502,1458554781121,0,162,175,16,28,0.5,0.0
1475518,1458555042179,0,162,175,16,28,2.1,0.5
1475536,1458555303005,0,158,175,16,28,2.1,0.5
1475552,1458555563699,0,160,174,16,28,1.0,0.0
1475570,1458555824346,0,159,175,16,29,1.3,0.4
1475588,1458556084450,0,160,175,16,28,0.9,0.0
1475604,1458556345244,0,165,175,16,28,1.7,0.3
1475623,1458556605296,0,160,174,17,28,1.1,0.0
1475639,1458556865849,0,158,174,16,29,0.7,0.0
1475657,1458557126433,0,167,175,16,28,1.6,0.2
1475674,1458557387057,0,169,174,16,28,1.0,0.0
1475690,1458557647084,0,158,175,17,28,2.2,0.5
1475710,1458557907604,0,159,174,17,28,1.0,0.2
1475726,1458558168078,0,157,174,16,28,1.4,0.0
1475741,1458558429114,0,164,175,17,28,2.2,0.3
1475759,1458558689298,0,162,174,16,28,1.7,0.0
1475775,1458558949424,0,164,174,16,28,0.3,0.0
1475795,1458559209447,0,165,174,16,28,2.0,0.4
1475812,1458559469889,0,157,176,17,28,1.1,0.2
1475830,1458559729881,0,167,174,16,29,0.7,0.0
1475847,1458559990179,0,159,173,16,28,2.5,0.6
1475863,1458560250380,0,162,174,16,28,1.0,0.0
1475880,1458560510543,0,166,174,16,28,0.6,0.0
1475897,1458560772875,0,154,174,16,29,0.9,0.1
1475915,1458561032902,0,159,175,16,28,2.6,0.4
1475935,1458561293101,0,162,174,16,28,2.4,0.1
1475952,1458561553284,0,162,174,16,29,1.0,0.0
1475971,1458561813532,0,167,174,16,28,1.0,0.1
1475991,1458562074261,0,156,174,17,28,0.9,0.3
1476006,1458562334335,0,163,174,16,28,0.8,0.1
1476024,1458562594587,0,162,174,16,28,1.0,0.0
1476043,1458562855257,0,163,174,17,28,0.6,0.0
1476061,1458563115641,0,164,174,16,28,1.1,0.2
1476079,1458563375225,0,161,173,16,28,1.7,0.2
1476097,1458563635744,0,158,174,16,28,1.1,0.2
1476115,1458563895720,0,163,175,16,28,1.0,0.1
1476134,1458564155828,0,160,174,16,28,2.5,0.5
1476150,1458564415803,0,159,175,17,28,0.8,0.0
1476172,1458564706620,0,163,175,16,28,0.9,0.1
1476188,1458564966815,0,158,178,16,28,1.2,0.2
1476205,1458565227267,0,169,179,18,28,1.1,0.3
1476224,1458565488650,0,163,182,17,28,0.4,0.0
1476243,1458565748761,0,162,183,16,28,0.9,0.0
1476258,1458566009466,0,160,186,17,28,1.4,0.1
1476277,1458566269880,0,155,191,16,28,1.3,0.2
1476294,1458566529869,0,157,188,16,28,0.7,0.0
1476312,1458566790061,0,166,187,16,28,1.4,0.2
1476332,1458567050685,0,156,186,16,28,2.0,0.3
1476350,1458567311762,0,156,184,16,28,1.2,0.0
1476368,1458567572649,0,161,183,16,28,2.3,0.5
1476386,1458567833222,0,154,185,16,28,2.4,0.3
1476405,1458568093487,0,162,192,16,28,1.4,0.3
1476424,1458568356770,0,163,191,16,28,2.5,0.5
1476444,1458568646942,0,161,191,16,28,1.9,0.0
1476460,1458568906993,0,159,192,16,28,0.6,0.0
1476478,1458569167333,0,161,193,16,28,1.9,0.3
